time,agent_id,x,y,gate_idx,state
5.2,1,4.423754460502774,15.483815337100806,6,moving
5.3,1,4.42643696388498,15.48348993687418,6,moving
5.4,1,4.444125684023894,15.481344212257346,6,moving
5.5,1,4.480630457789088,15.476916012190593,6,moving
5.6000000000000005,1,4.533068619070674,15.47055501757709,6,moving
5.7,1,4.598534098854967,15.462613748201866,6,moving
5.8,1,4.674643868326773,15.453381276623666,6,moving
5.9,1,4.75945079745963,15.44309379883616,6,moving
6.0,1,4.851363939248693,15.431944304163927,6,moving
6.1000000000000005,1,4.949083374159101,15.420090478936112,6,moving
6.2,1,5.051546973287779,15.407661164364265,6,moving
6.3,1,5.157886899990615,15.394761633098762,6,moving
6.4,1,5.267394068544882,15.381477900559524,6,moving
6.5,1,5.379489104288792,15.367880247607147,6,moving
6.6000000000000005,1,5.493698615941193,15.354026098821665,6,moving
6.7,1,5.609635808359243,15.339962374265875,6,moving
6.8,1,5.726984641749886,15.325727411047186,6,moving
6.9,1,5.845486888592324,15.311352533373551,6,moving
7.0,1,5.9649315582013225,15.296863335403492,6,moving
7.1000000000000005,1,6.085146255825468,15.282280729427946,6,moving
7.2,1,6.205990122401332,15.267621802311174,6,moving
7.3,1,6.327348065818583,15.252900515265313,6,moving
7.4,1,6.449126047443583,15.238128275617155,6,moving
7.5,1,6.571247230865988,15.223314403983224,6,moving
7.6000000000000005,1,6.693648835144326,15.208466515985814,6,moving
7.7,1,6.816279563678533,15.19359083414282,6,moving
7.7,2,3.6933032202526683,17.70686827421926,0,moving
7.8,1,6.939097503411608,15.178692442704397,6,moving
7.8,2,3.700443827813763,17.694007198763522,0,moving
7.9,1,7.062068408324425,15.163775495873098,6,moving
7.9,2,3.7187524008897737,17.661031301712352,0,moving
8.0,1,7.185164296926005,15.148843387934859,6,moving
8.0,2,3.747009753050608,17.610136481459257,0,moving
8.1,1,7.308362306300982,15.133898892268418,6,moving
8.1,2,3.7834172467006897,17.54456229621218,0,moving
8.2,1,7.431643755782919,15.11894427492612,6,moving
8.2,2,3.8264840933818243,17.466993831614786,0,moving
8.3,1,7.555011037398751,15.104253175506532,6,moving
8.3,2,3.87499211640194,17.37962516740344,0,moving
8.4,1,7.678572628216812,15.09170311456519,6,moving
8.4,2,3.927945976646123,17.284249026585456,0,moving
8.5,1,7.802316464648183,15.081298602814426,6,moving
8.5,2,3.98453240958994,17.182330194380395,0,moving
8.6,1,7.92620941550049,15.072682395264597,6,moving
8.6,2,4.044086918905671,17.0750655069591,0,moving
8.700000000000001,1,8.050224336222744,15.065557324997881,6,moving
8.700000000000001,2,4.106066562713657,16.96343286661106,0,moving
8.8,1,8.174338996831523,15.059676123756981,6,moving
8.8,2,4.17002771796831,16.848231290704817,0,moving
8.9,1,8.298535199109066,15.054832977563764,6,moving
8.9,2,4.23560791234257,16.73011363460443,0,moving
9.0,1,8.422798050443213,15.050856520228278,6,moving
9.0,2,4.302510979554751,16.6096133286747,0,moving
9.0,3,3.841991854837837,17.77489310314203,4,moving
9.1,1,8.547115367070468,15.047604018692148,6,moving
9.1,2,4.370494930189766,16.487166224361083,0,moving
9.1,3,3.850980978533559,17.768342109856672,4,moving
9.200000000000001,1,8.671477184056247,15.044956546424336,6,moving
9.200000000000001,2,4.439362041276995,16.363128444027495,0,moving
9.200000000000001,3,3.8739331505415744,17.748465966035987,4,moving
9.3,1,8.795875353201035,15.04281497607488,6,moving
9.3,2,4.506118204741407,16.24076848908506,0,moving
9.3,3,3.9096898848379666,17.715327293011246,4,moving
9.3,4,5.292324271361095,15.420743468391988,2,moving
9.4,1,8.920303213295387,15.041096651553163,6,moving
9.4,2,4.5085939474142265,16.184757846032024,0,moving
9.4,3,3.9511403739819158,17.686661416091262,4,moving
9.4,4,5.294199183577361,15.417971398389795,2,moving
9.4,5,3.8300143537526767,8.135893376487742,5,moving
9.4,6,3.8581705048641224,16.798071890306158,2,moving
9.5,1,9.044755319848809,15.039732623671865,6,moving
9.5,2,4.5021033243318,16.136640908499018,0,moving
9.5,3,4.00034714638378,17.665984315597516,4,moving
9.5,4,5.304948213156787,15.402774695247535,2,moving
9.5,5,3.8381083963796576,8.147965821792308,5,moving
9.5,6,3.857280675886853,16.793964725576892,2,moving
9.5,7,3.7491021928371646,10.78301287493561,2,moving
9.5,8,5.069619179662482,8.053623606077426,2,moving
9.6,1,9.169227223668017,15.038665353347282,6,moving
9.6,2,4.49684464394493,16.085784131457064,0,moving
9.6,3,4.057924814445365,17.64173230906207,4,moving
9.6,4,5.32610564749442,15.373125401755297,2,moving
9.6,5,3.856236198345607,8.17642870977249,5,moving
9.6,6,3.8579138879744126,16.785966389805505,2,moving
9.6,7,3.7656563621894685,10.786389162097912,2,moving
9.6,8,5.073770539398412,8.058718456566947,2,moving
9.700000000000001,1,9.29371528952918,15.03784680278255,6,moving
9.700000000000001,2,4.49373572199027,16.031066115222817,0,moving
9.700000000000001,3,4.121490772800763,17.614442404506736,4,moving
9.700000000000001,4,5.355990517811223,15.331358647686796,2,moving
9.700000000000001,5,3.8830368375119786,8.217819038646311,5,moving
9.700000000000001,6,3.85948186136121,16.775721433402335,2,moving
9.700000000000001,7,3.8047948505861524,10.794371608882972,2,moving
9.700000000000001,8,5.088292312030802,8.076540631736323,2,moving
9.8,1,9.418216547737217,15.037236848671636,6,moving
9.8,2,4.492168045867569,15.972920270173118,0,moving
9.8,3,4.189448960406406,17.58435216204003,4,moving
9.8,4,5.3930095680255965,15.279687335706708,2,moving
9.8,5,3.9171295838841176,8.268982854937933,5,moving
9.8,6,3.861529708653111,16.765165042174495,2,moving
9.8,7,3.863632276555725,10.80637173052824,2,moving
9.8,8,5.11300334509778,8.106867808113789,2,moving
9.9,1,9.54272857264611,15.036801962735257,6,moving
